protocol,alert_id,simulation_time,risk_level,vehicle_1,vehicle_2,sent_perf_time,sent_wall_time_utc,sent_wall_time_cest
mqtt,arrival:targeted_vehicle_004|targeted_vehicle_005:41.4:HIGH,41.4,HIGH,targeted_vehicle_004,targeted_vehicle_005,122618.015814833,2026-06-27T13:59:37.895789+00:00,15:59:37.895 CEST
mqtt,arrival:targeted_vehicle_006|targeted_vehicle_008:54.8:HIGH,54.8,HIGH,targeted_vehicle_006,targeted_vehicle_008,122631.4161155,2026-06-27T13:59:51.295713+00:00,15:59:51.295 CEST
mqtt,arrival:targeted_vehicle_010|targeted_vehicle_011:69.2:HIGH,69.2,HIGH,targeted_vehicle_010,targeted_vehicle_011,122645.815189375,2026-06-27T14:00:05.694381+00:00,16:00:05.694 CEST
mqtt,arrival:targeted_vehicle_012|targeted_vehicle_013:81.9:LOW,81.9,LOW,targeted_vehicle_012,targeted_vehicle_013,122658.51586925,2026-06-27T14:00:18.394704+00:00,16:00:18.394 CEST
mqtt,arrival:targeted_vehicle_012|targeted_vehicle_013:83.9:HIGH,83.9,HIGH,targeted_vehicle_012,targeted_vehicle_013,122660.515427333,2026-06-27T14:00:20.394206+00:00,16:00:20.394 CEST
mqtt,arrival:targeted_vehicle_015|targeted_vehicle_016:97.5:HIGH,97.5,HIGH,targeted_vehicle_015,targeted_vehicle_016,122674.11869875,2026-06-27T14:00:33.997094+00:00,16:00:33.997 CEST
mqtt,arrival:targeted_vehicle_017|targeted_vehicle_018:110.8:LOW,110.8,LOW,targeted_vehicle_017,targeted_vehicle_018,122687.489743958,2026-06-27T14:00:47.367763+00:00,16:00:47.367 CEST
mqtt,arrival:targeted_vehicle_018|targeted_vehicle_019:111.1:HIGH,111.1,HIGH,targeted_vehicle_018,targeted_vehicle_019,122687.716682416,2026-06-27T14:00:47.594695+00:00,16:00:47.594 CEST
mqtt,arrival:targeted_vehicle_017|targeted_vehicle_019:111.1:LOW,111.1,LOW,targeted_vehicle_017,targeted_vehicle_019,122687.71681775,2026-06-27T14:00:47.594831+00:00,16:00:47.594 CEST
mqtt,arrival:targeted_vehicle_020|targeted_vehicle_021:125.0:LOW,125.0,LOW,targeted_vehicle_020,targeted_vehicle_021,122701.616900666,2026-06-27T14:01:01.494522+00:00,16:01:01.494 CEST
mqtt,arrival:targeted_vehicle_021|targeted_vehicle_022:125.6:HIGH,125.6,HIGH,targeted_vehicle_021,targeted_vehicle_022,122702.216284166,2026-06-27T14:01:02.093889+00:00,16:01:02.093 CEST
mqtt,arrival:targeted_vehicle_023|targeted_vehicle_024:138.1:HIGH,138.1,HIGH,targeted_vehicle_023,targeted_vehicle_024,122714.718278,2026-06-27T14:01:14.595531+00:00,16:01:14.595 CEST
mqtt,arrival:targeted_vehicle_025|targeted_vehicle_026:152.5:LOW,152.5,LOW,targeted_vehicle_025,targeted_vehicle_026,122729.118155,2026-06-27T14:01:28.995003+00:00,16:01:28.995 CEST
mqtt,arrival:targeted_vehicle_026|targeted_vehicle_027:152.6:HIGH,152.6,HIGH,targeted_vehicle_026,targeted_vehicle_027,122729.333449333,2026-06-27T14:01:29.210291+00:00,16:01:29.210 CEST
mqtt,arrival:targeted_vehicle_025|targeted_vehicle_027:152.6:LOW,152.6,LOW,targeted_vehicle_025,targeted_vehicle_027,122729.333586416,2026-06-27T14:01:29.210428+00:00,16:01:29.210 CEST
mqtt,arrival:targeted_vehicle_028|targeted_vehicle_029:166.6:HIGH,166.6,HIGH,targeted_vehicle_028,targeted_vehicle_029,122743.208654833,2026-06-27T14:01:43.085106+00:00,16:01:43.085 CEST
mqtt,arrival:targeted_vehicle_031|targeted_vehicle_032:181.8:HIGH,181.8,HIGH,targeted_vehicle_031,targeted_vehicle_032,122758.415868875,2026-06-27T14:01:58.291892+00:00,16:01:58.291 CEST
mqtt,arrival:targeted_vehicle_033|targeted_vehicle_034:195.3:HIGH,195.3,HIGH,targeted_vehicle_033,targeted_vehicle_034,122771.916005708,2026-06-27T14:02:11.791649+00:00,16:02:11.791 CEST
mqtt,arrival:targeted_vehicle_035|targeted_vehicle_036:206.5:LOW,206.5,LOW,targeted_vehicle_035,targeted_vehicle_036,122783.116680791,2026-06-27T14:02:22.992009+00:00,16:02:22.992 CEST
