simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
41.40,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
41.40,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_004,targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.40,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=28.1 remaining_to_hold_m=15.6 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=6.06 duration_s=1.96.
42.40,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_004,targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.40,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=17.4 remaining_to_hold_m=4.9 speed_mps=8.12 target_speed_mps=2.00 decel_mps2=6.37 duration_s=0.96.
43.10,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,45.00,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
43.10,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
43.20,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,45.00,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
43.20,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
43.30,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,45.00,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
43.30,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.00,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
43.40,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_004,targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.40,targeted_vehicle_004,0.30,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: final_brake_before_guard entry_distance_m=12.3 hold_distance_m=12.5 speed_mps=2.80 target_speed_mps=0.30 duration_s=0.40.
44.30,HIGH,targeted_vehicle_004,targeted_vehicle_005,WAIT_AT_STOP_ZONE,targeted_vehicle_004,targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,targeted_vehicle_004;targeted_vehicle_005,45.40,targeted_vehicle_004,0.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: wait_near_junction_entry entry_distance_m=11.2 hold_distance_m=12.5 speed_mps=0.64.
45.00,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_005,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
45.00,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_005,45.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
47.70,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_005,targeted_vehicle_006,targeted_vehicle_005;targeted_vehicle_006,targeted_vehicle_005;targeted_vehicle_006,56.20,targeted_vehicle_005,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
48.60,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_006;targeted_vehicle_007,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
48.60,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007,52.44,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
48.70,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_007,targeted_vehicle_006,targeted_vehicle_007;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007,56.20,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=97.8.
49.70,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_006,targeted_vehicle_007;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007,56.20,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=83.9 remaining_to_hold_m=71.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
50.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,56.14,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=73.9 remaining_to_hold_m=61.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
50.70,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_006,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,59.35,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=72.7 remaining_to_hold_m=60.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
51.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,59.11,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=62.7 remaining_to_hold_m=50.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
51.10,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,52.45,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
51.10,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,52.45,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
51.20,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,52.45,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
51.20,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,52.45,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
51.30,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,52.45,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
51.30,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,52.45,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
51.70,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_006,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,67.51,targeted_vehicle_007,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=66.1 remaining_to_hold_m=53.6 speed_mps=4.58 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.52.
52.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,66.75,targeted_vehicle_007,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=56.1 remaining_to_hold_m=43.6 speed_mps=4.57 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.51.
54.80,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_008,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
54.80,HIGH,targeted_vehicle_006,targeted_vehicle_008,RELEASE_NEXT_VEHICLE,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,58.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
54.80,HIGH,targeted_vehicle_006,targeted_vehicle_008,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,58.80,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=35.1 remaining_to_hold_m=22.6 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
55.80,HIGH,targeted_vehicle_006,targeted_vehicle_008,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008,58.80,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=23.8 remaining_to_hold_m=11.3 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
