received_at_utc,protocol,alert_id,topic,simulation_time,risk_level,episode_status,vehicle_1,vehicle_2,arrival_time_difference_s,latency_ms,controller_action,payload_json
2026-06-27T13:59:37.897537+00:00,mqtt,arrival:targeted_vehicle_004|targeted_vehicle_005:41.4:HIGH,v2x/alerts,41.4,HIGH,NEW_HIGH,targeted_vehicle_004,targeted_vehicle_005,0.4,1.9277,QUEUED_FOR_TRACI_CONTROL,"{""alert_id"":""arrival:targeted_vehicle_004|targeted_vehicle_005:41.4:HIGH"",""pair_id"":""targeted_vehicle_004|targeted_vehicle_005"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T13:59:37.895761+00:00"",""simulation_time"":41.4,""prediction_time_s"":41.4,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_004"",""vehicle_2"":""targeted_vehicle_005"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.4,""vehicle_1_arrival_time_s"":45.0,""vehicle_2_arrival_time_s"":45.4,""predicted_collision_time_s"":45.0,""prediction_horizon_s"":4.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_004 and targeted_vehicle_005"",""episode_id"":""targeted_vehicle_004|targeted_vehicle_005|41.4"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":122618.015814833,""sent_wall_time_utc"":""2026-06-27T13:59:37.895789+00:00"",""sent_wall_time_cest"":""15:59:37.895 CEST"",""_controller_received_perf_time"":122618.017787083}"
2026-06-27T13:59:51.297493+00:00,mqtt,arrival:targeted_vehicle_006|targeted_vehicle_008:54.8:HIGH,v2x/alerts,54.8,HIGH,NEW_HIGH,targeted_vehicle_006,targeted_vehicle_008,0.4,1.8217,QUEUED_FOR_TRACI_CONTROL,"{""alert_id"":""arrival:targeted_vehicle_006|targeted_vehicle_008:54.8:HIGH"",""pair_id"":""targeted_vehicle_006|targeted_vehicle_008"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T13:59:51.295697+00:00"",""simulation_time"":54.8,""prediction_time_s"":54.8,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_006"",""vehicle_2"":""targeted_vehicle_008"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.4,""vehicle_1_arrival_time_s"":58.4,""vehicle_2_arrival_time_s"":58.8,""predicted_collision_time_s"":58.4,""prediction_horizon_s"":4.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_006 and targeted_vehicle_008"",""episode_id"":""targeted_vehicle_006|targeted_vehicle_008|54.8"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":122631.4161155,""sent_wall_time_utc"":""2026-06-27T13:59:51.295713+00:00"",""sent_wall_time_cest"":""15:59:51.295 CEST"",""_controller_received_perf_time"":122631.417954791}"
2026-06-27T14:00:05.697585+00:00,mqtt,arrival:targeted_vehicle_010|targeted_vehicle_011:69.2:HIGH,v2x/alerts,69.2,HIGH,NEW_HIGH,targeted_vehicle_010,targeted_vehicle_011,0.4,3.3198,QUEUED_FOR_TRACI_CONTROL,"{""alert_id"":""arrival:targeted_vehicle_010|targeted_vehicle_011:69.2:HIGH"",""pair_id"":""targeted_vehicle_010|targeted_vehicle_011"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:05.694367+00:00"",""simulation_time"":69.2,""prediction_time_s"":69.2,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_010"",""vehicle_2"":""targeted_vehicle_011"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.4,""vehicle_1_arrival_time_s"":72.8,""vehicle_2_arrival_time_s"":73.2,""predicted_collision_time_s"":72.8,""prediction_horizon_s"":4.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_010 and targeted_vehicle_011"",""episode_id"":""targeted_vehicle_010|targeted_vehicle_011|69.2"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":122645.815189375,""sent_wall_time_utc"":""2026-06-27T14:00:05.694381+00:00"",""sent_wall_time_cest"":""16:00:05.694 CEST"",""_controller_received_perf_time"":122645.818534166}"
2026-06-27T14:00:18.397134+00:00,mqtt,arrival:targeted_vehicle_012|targeted_vehicle_013:81.9:LOW,v2x/alerts,81.9,LOW,NEW_LOW,targeted_vehicle_012,targeted_vehicle_013,2.4,2.4812,LOG_ONLY,"{""alert_id"":""arrival:targeted_vehicle_012|targeted_vehicle_013:81.9:LOW"",""pair_id"":""targeted_vehicle_012|targeted_vehicle_013"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:18.394689+00:00"",""simulation_time"":81.9,""prediction_time_s"":81.9,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_012"",""vehicle_2"":""targeted_vehicle_013"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":2.4,""vehicle_1_arrival_time_s"":83.5,""vehicle_2_arrival_time_s"":85.9,""predicted_collision_time_s"":83.5,""prediction_horizon_s"":4.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_012 and targeted_vehicle_013"",""episode_id"":""targeted_vehicle_012|targeted_vehicle_013|81.9"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":122658.51586925,""sent_wall_time_utc"":""2026-06-27T14:00:18.394704+00:00"",""sent_wall_time_cest"":""16:00:18.394 CEST""}"
2026-06-27T14:00:20.396560+00:00,mqtt,arrival:targeted_vehicle_012|targeted_vehicle_013:83.9:HIGH,v2x/alerts,83.9,HIGH,ESCALATED_HIGH,targeted_vehicle_012,targeted_vehicle_013,1.9,2.3845,QUEUED_FOR_TRACI_CONTROL,"{""alert_id"":""arrival:targeted_vehicle_012|targeted_vehicle_013:83.9:HIGH"",""pair_id"":""targeted_vehicle_012|targeted_vehicle_013"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:20.394191+00:00"",""simulation_time"":83.9,""prediction_time_s"":83.9,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_012"",""vehicle_2"":""targeted_vehicle_013"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":1.9,""vehicle_1_arrival_time_s"":84.0,""vehicle_2_arrival_time_s"":85.9,""predicted_collision_time_s"":84.0,""prediction_horizon_s"":4.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_012 and targeted_vehicle_013"",""episode_id"":""targeted_vehicle_012|targeted_vehicle_013|81.9"",""episode_status"":""ESCALATED_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":122660.515427333,""sent_wall_time_utc"":""2026-06-27T14:00:20.394206+00:00"",""sent_wall_time_cest"":""16:00:20.394 CEST"",""_controller_received_perf_time"":122660.517829416}"
2026-06-27T14:00:33.998971+00:00,mqtt,arrival:targeted_vehicle_015|targeted_vehicle_016:97.5:HIGH,v2x/alerts,97.5,HIGH,NEW_HIGH,targeted_vehicle_015,targeted_vehicle_016,0.9,2.003,QUEUED_FOR_TRACI_CONTROL,"{""alert_id"":""arrival:targeted_vehicle_015|targeted_vehicle_016:97.5:HIGH"",""pair_id"":""targeted_vehicle_015|targeted_vehicle_016"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:33.997078+00:00"",""simulation_time"":97.5,""prediction_time_s"":97.5,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_015"",""vehicle_2"":""targeted_vehicle_016"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.9,""vehicle_1_arrival_time_s"":100.6,""vehicle_2_arrival_time_s"":101.5,""predicted_collision_time_s"":100.6,""prediction_horizon_s"":4.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_015 and targeted_vehicle_016"",""episode_id"":""targeted_vehicle_015|targeted_vehicle_016|97.5"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":122674.11869875,""sent_wall_time_utc"":""2026-06-27T14:00:33.997094+00:00"",""sent_wall_time_cest"":""16:00:33.997 CEST"",""_controller_received_perf_time"":122674.12072475}"
2026-06-27T14:00:47.369789+00:00,mqtt,arrival:targeted_vehicle_017|targeted_vehicle_018:110.8:LOW,v2x/alerts,110.8,LOW,NEW_LOW,targeted_vehicle_017,targeted_vehicle_018,3.7,2.1493,LOG_ONLY,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_018:110.8:LOW"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_018"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:47.367747+00:00"",""simulation_time"":110.8,""prediction_time_s"":110.8,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_018"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":3.7,""vehicle_1_arrival_time_s"":110.9,""vehicle_2_arrival_time_s"":114.6,""predicted_collision_time_s"":110.9,""prediction_horizon_s"":4.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_018"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_018|110.8"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":122687.489743958,""sent_wall_time_utc"":""2026-06-27T14:00:47.367763+00:00"",""sent_wall_time_cest"":""16:00:47.367 CEST""}"
2026-06-27T14:00:47.596407+00:00,mqtt,arrival:targeted_vehicle_018|targeted_vehicle_019:111.1:HIGH,v2x/alerts,111.1,HIGH,NEW_HIGH,targeted_vehicle_018,targeted_vehicle_019,0.4,1.7433,QUEUED_FOR_TRACI_CONTROL,"{""alert_id"":""arrival:targeted_vehicle_018|targeted_vehicle_019:111.1:HIGH"",""pair_id"":""targeted_vehicle_018|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:47.594682+00:00"",""simulation_time"":111.1,""prediction_time_s"":111.1,""risk_level"":""HIGH"",""severity_rank"":2,""vehicle_1"":""targeted_vehicle_018"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""HIGH"",""risk_source"":""arrival"",""arrival_time_difference_s"":0.4,""vehicle_1_arrival_time_s"":114.7,""vehicle_2_arrival_time_s"":115.1,""predicted_collision_time_s"":114.7,""prediction_horizon_s"":4.0,""recommendation"":""Issue immediate V2X intersection-arrival warning"",""message"":""HIGH intersection arrival-time risk detected between targeted_vehicle_018 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_018|targeted_vehicle_019|111.1"",""episode_status"":""NEW_HIGH"",""protocol"":""mqtt"",""sent_perf_time"":122687.716682416,""sent_wall_time_utc"":""2026-06-27T14:00:47.594695+00:00"",""sent_wall_time_cest"":""16:00:47.594 CEST"",""_controller_received_perf_time"":122687.718443416}"
2026-06-27T14:00:47.596672+00:00,mqtt,arrival:targeted_vehicle_017|targeted_vehicle_019:111.1:LOW,v2x/alerts,111.1,LOW,NEW_LOW,targeted_vehicle_017,targeted_vehicle_019,3.9,1.8701,LOG_ONLY,"{""alert_id"":""arrival:targeted_vehicle_017|targeted_vehicle_019:111.1:LOW"",""pair_id"":""targeted_vehicle_017|targeted_vehicle_019"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:00:47.594677+00:00"",""simulation_time"":111.1,""prediction_time_s"":111.1,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_017"",""vehicle_2"":""targeted_vehicle_019"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":3.9,""vehicle_1_arrival_time_s"":111.2,""vehicle_2_arrival_time_s"":115.1,""predicted_collision_time_s"":111.2,""prediction_horizon_s"":4.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_017 and targeted_vehicle_019"",""episode_id"":""targeted_vehicle_017|targeted_vehicle_019|111.1"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":122687.71681775,""sent_wall_time_utc"":""2026-06-27T14:00:47.594831+00:00"",""sent_wall_time_cest"":""16:00:47.594 CEST""}"
2026-06-27T14:01:01.496489+00:00,mqtt,arrival:targeted_vehicle_020|targeted_vehicle_021:125.0:LOW,v2x/alerts,125.0,LOW,NEW_LOW,targeted_vehicle_020,targeted_vehicle_021,3.7,2.0072,LOG_ONLY,"{""alert_id"":""arrival:targeted_vehicle_020|targeted_vehicle_021:125.0:LOW"",""pair_id"":""targeted_vehicle_020|targeted_vehicle_021"",""event_type"":""v2x_intersection_arrival_risk"",""generated_at_utc"":""2026-06-27T14:01:01.494507+00:00"",""simulation_time"":125.0,""prediction_time_s"":125.0,""risk_level"":""LOW"",""severity_rank"":1,""vehicle_1"":""targeted_vehicle_020"",""vehicle_2"":""targeted_vehicle_021"",""vehicle_1_group"":""targeted"",""vehicle_2_group"":""targeted"",""arrival_risk_level"":""LOW"",""risk_source"":""arrival"",""arrival_time_difference_s"":3.7,""vehicle_1_arrival_time_s"":125.1,""vehicle_2_arrival_time_s"":128.8,""predicted_collision_time_s"":125.1,""prediction_horizon_s"":4.0,""recommendation"":""Monitor arrival timing and prepare warning if risk escalates"",""message"":""LOW intersection arrival-time risk detected between targeted_vehicle_020 and targeted_vehicle_021"",""episode_id"":""targeted_vehicle_020|targeted_vehicle_021|125.0"",""episode_status"":""NEW_LOW"",""protocol"":""mqtt"",""sent_perf_time"":122701.616900666,""sent_wall_time_utc"":""2026-06-27T14:01:01.494522+00:00"",""sent_wall_time_cest"":""16:01:01.494 CEST""}"
